county,year,hum_cases,catt_cases,cam_cases,goat_cases,shp_cases,catt_pop,goat_pop,sheep_pop,cam_pop,pop,hum_incidence,catt_incidence,cam_incidence,goat_incidence,shp_incidence
Baringo,2014,1898,0,0,0,0,409846,933727,343343,38500,598102,3173.37176601984,0,0,0,0
Baringo,2015,6687,0,0,0,0,409846,933727,343343,38500,611244,10939.9846869663,0,0,0,0
Baringo,2016,9488,0,0,0,0,409846,933727,343343,38500,624675,15188.698123024,0,0,0,0
Baringo,2017,8771,0,0,0,0,409846,933727,343343,38500,638401,13739.0135667081,0,0,0,0
Baringo,2018,14887,0,0,0,0,409846,933727,343343,38500,652428,22817.8435015052,0,0,0,0
Baringo,2019,17468,27,0,6,6,409846,933727,343343,38500,666763,26198.2143580253,65.8784031075087,0,6.42586109216077,17.4752361341283
Baringo,2020,20257,0,0,0,0,409846,933727,343343,38500,687000,29486.1717612809,0,0,0,0
Baringo,2021,20600,0,0,0,0,409846,933727,343343,38500,702000,29344.7293447293,0,0,0,0
Baringo,2022,18470,0,0,0,0,409846,933727,343343,38500,718000,25724.2339832869,0,0,0,0
Bomet,2014,2111,0,0,0,0,318209,76459,80492,0,817740,2581.50512387801,0,,0,0
Bomet,2015,8406,0,0,0,0,318209,76459,80492,0,829015,10139.7441542071,0,,0,0
Bomet,2016,12964,0,0,0,0,318209,76459,80492,0,840445,15425.1616703056,0,,0,0
Bomet,2017,7008,0,0,0,0,318209,76459,80492,0,852033,8225.03353743341,0,,0,0
Bomet,2018,11052,6,0,0,0,318209,76459,80492,0,863780,12794.9246335873,18.8555320559758,,0,0
Bomet,2019,14467,10,0,0,0,318209,76459,80492,0,875689,16520.7054102541,31.4258867599597,,0,0
Bomet,2020,9752,0,0,0,0,318209,76459,80492,0,902000,10811.5299334812,0,,0,0
Bomet,2021,9273,2,0,0,0,318209,76459,80492,0,914000,10145.5142231947,6.28517735199193,,0,0
Bomet,2022,4920,0,0,1,0,318209,76459,80492,0,927000,5307.44336569579,0,,13.0789050340705,0
Bungoma,2014,1965,0,0,0,0,351259,109693,78494,0,1537222,1278.27991012359,0,,0,0
Bungoma,2015,16278,0,0,0,0,351259,109693,78494,0,1563012,10414.5073742236,0,,0,0
Bungoma,2016,28125,0,0,0,0,351259,109693,78494,0,1589234,17697.2050686054,0,,0,0
Bungoma,2017,30009,0,0,0,0,351259,109693,78494,0,1615896,18571.1209137222,0,,0,0
Bungoma,2018,40181,0,0,0,0,351259,109693,78494,0,1643006,24455.7840933022,0,,0,0
Bungoma,2019,41761,0,0,0,0,351259,109693,78494,0,1670570,24998.0545562293,0,,0,0
Bungoma,2020,45479,0,0,2,0,351259,109693,78494,0,1700000,26752.3529411765,0,,18.2327040011669,0
Bungoma,2021,57947,4,0,2,0,351259,109693,78494,0,1729000,33514.7484094853,11.3876085737305,,18.2327040011669,0
Bungoma,2022,51644,19,0,3,2,351259,109693,78494,0,1758000,29376.5642775882,54.0911407252199,,27.3490560017503,25.479654495885
Busia,2014,1729,0,0,0,0,206628,82303,21704,0,810293,2133.79604661524,0,,0,0
Busia,2015,3905,0,0,0,0,206628,82303,21704,0,826324,4725.74922185487,0,,0,0
Busia,2016,5251,0,0,0,0,206628,82303,21704,0,842672,6231.36878880514,0,,0,0
Busia,2017,5459,0,0,0,0,206628,82303,21704,0,859343,6352.5274541132,0,,0,0
Busia,2018,6970,0,0,0,0,206628,82303,21704,0,876344,7953.49771322677,0,,0,0
Busia,2019,13957,1,0,0,0,206628,82303,21704,0,893681,15617.4294854652,4.83961515380297,,0,0
Busia,2020,7457,0,0,0,0,206628,82303,21704,0,914000,8158.64332603939,0,,0,0
Busia,2021,6757,1,0,0,0,206628,82303,21704,0,932000,7250,4.83961515380297,,0,0
Busia,2022,5843,6,0,0,0,206628,82303,21704,0,950000,6150.52631578947,29.0376909228178,,0,0
Elgeyo Marakwet,2014,3889,0,0,0,0,150453,99926,190031,89,422686,9200.68324950436,0,0,0,0
Elgeyo Marakwet,2015,10118,0,0,0,0,150453,99926,190031,89,428862,23592.67083584,0,0,0,0
Elgeyo Marakwet,2016,17519,0,0,0,0,150453,99926,190031,89,435128,40261.7160927359,0,0,0,0
Elgeyo Marakwet,2017,18439,0,0,0,0,150453,99926,190031,89,441485,41765.8584096855,0,0,0,0
Elgeyo Marakwet,2018,25240,0,0,0,0,150453,99926,190031,89,447935,56347.4611271725,0,0,0,0
Elgeyo Marakwet,2019,29718,0,0,0,0,150453,99926,190031,89,454480,65389.0160183066,0,0,0,0
Elgeyo Marakwet,2020,29006,0,0,0,0,150453,99926,190031,89,474000,61194.0928270042,0,0,0,0
Elgeyo Marakwet,2021,28446,1,0,0,0,150453,99926,190031,89,481000,59139.2931392931,6.64659395292882,0,0,0
Elgeyo Marakwet,2022,20701,2,0,0,0,150453,99926,190031,89,488000,42420.0819672131,13.2931879058576,0,0,0
Embu,2014,1158,0,0,0,0,138415,269133,45246,228,577895,2003.82422412376,0,0,0,0
Embu,2015,729,0,0,0,0,138415,269133,45246,228,583909,1248.48221212552,0,0,0,0
Embu,2016,2329,0,0,0,0,138415,269133,45246,228,589986,3947.55129782741,0,0,0,0
Embu,2017,1852,0,0,0,0,138415,269133,45246,228,596126,3106.72575931934,0,0,0,0
Embu,2018,3150,0,0,0,0,138415,269133,45246,228,602330,5229.69136519848,0,0,0,0
Embu,2019,3894,0,0,0,0,138415,269133,45246,228,608599,6398.30167318711,0,0,0,0
Embu,2020,6376,2,0,0,0,138415,269133,45246,228,629000,10136.7249602544,14.4493010150634,0,0,0
Embu,2021,8422,0,0,0,0,138415,269133,45246,228,635000,13262.9921259843,0,0,0,0
Embu,2022,6608,1,0,0,0,138415,269133,45246,228,642000,10292.8348909657,7.2246505075317,0,0,0
Garissa,2014,904,0,0,0,0,1420691,3857292,2746577,816057,743978,1215.08969351244,0,0,0,0
Garissa,2015,4918,0,1,1,1,1420691,3857292,2746577,816057,762507,6449.77685450757,0,1.22540459796313,0.259249234955508,0.364089555836228
Garissa,2016,11120,0,0,0,0,1420691,3857292,2746577,816057,781497,14229.1013273244,0,0,0,0
Garissa,2017,12156,0,0,10,0,1420691,3857292,2746577,816057,800960,15176.7878545745,0,0,2.59249234955508,0
Garissa,2018,15593,0,0,0,0,1420691,3857292,2746577,816057,820908,18994.8203696395,0,0,0,0
Garissa,2019,15147,0,0,0,0,1420691,3857292,2746577,816057,841353,18003.1449344092,0,0,0,0
Garissa,2020,11541,0,0,2,0,1420691,3857292,2746577,816057,861000,13404.181184669,0,0,0.518498469911015,0
Garissa,2021,9552,2,0,5,8,1420691,3857292,2746577,816057,883000,10817.6670441676,1.40776565769756,0,1.29624617477754,2.91271644668983
Garissa,2022,7768,0,0,0,0,1420691,3857292,2746577,816057,905000,8583.42541436464,0,0,0,0
Homa Bay,2014,1136,0,0,0,0,340969,179555,148374,0,1027377,1105.72847163213,0,,0,0
Homa Bay,2015,5249,0,0,0,0,340969,179555,148374,0,1047489,5011.03114209314,0,,0,0
Homa Bay,2016,13152,0,0,0,0,340969,179555,148374,0,1067994,12314.6759251456,0,,0,0
Homa Bay,2017,9124,0,0,0,0,340969,179555,148374,0,1088901,8379.09047746306,0,,0,0
Homa Bay,2018,5413,0,0,0,0,340969,179555,148374,0,1110217,4875.62341416138,0,,0,0
Homa Bay,2019,8755,0,0,0,0,340969,179555,148374,0,1131950,7734.44056716286,0,,0,0
Homa Bay,2020,11512,0,0,0,0,340969,179555,148374,0,1162000,9907.05679862306,0,,0,0
Homa Bay,2021,12087,0,0,0,0,340969,179555,148374,0,1185000,10200,0,,0,0
Homa Bay,2022,12230,0,0,0,1,340969,179555,148374,0,1208000,10124.1721854305,0,,0,6.73972528879723
Isiolo,2014,1024,0,0,0,0,271598,1030005,854725,148859,238079,4301.09333456542,0,0,0,0
Isiolo,2015,2758,0,0,0,0,271598,1030005,854725,148859,243784,11313.2937354379,0,0,0,0
Isiolo,2016,3540,0,0,0,0,271598,1030005,854725,148859,249625,14181.2719078618,0,0,0,0
Isiolo,2017,2652,0,0,0,0,271598,1030005,854725,148859,255606,10375.3433018004,0,0,0,0
Isiolo,2018,3707,0,0,0,0,271598,1030005,854725,148859,261731,14163.3967699661,0,0,0,0
Isiolo,2019,9520,0,0,0,0,271598,1030005,854725,148859,268002,35522.1229692316,0,0,0,0
Isiolo,2020,8313,0,1,0,0,271598,1030005,854725,148859,294000,28275.5102040816,0,6.71776647700173,0,0
Isiolo,2021,10355,0,0,0,0,271598,1030005,854725,148859,301000,34401.9933554817,0,0,0,0
Isiolo,2022,6658,4,0,6,0,271598,1030005,854725,148859,309000,21546.925566343,14.7276489517596,0,5.8252144407066,0
Kajiado,2014,4656,0,0,0,0,577710,877744,1120649,3584,989478,4705.51139085457,0,0,0,0
Kajiado,2015,5953,0,0,0,0,577710,877744,1120649,3584,1013913,5871.3124301592,0,0,0,0
Kajiado,2016,19023,0,0,0,0,577710,877744,1120649,3584,1038952,18309.7967952321,0,0,0,0
Kajiado,2017,18114,0,0,0,0,577710,877744,1120649,3584,1064609,17014.6974147316,0,0,0,0
Kajiado,2018,20623,0,0,0,0,577710,877744,1120649,3584,1090900,18904.574204785,0,0,0,0
Kajiado,2019,15402,0,0,0,0,577710,877744,1120649,3584,1117840,13778.3582623631,0,0,0,0
Kajiado,2020,17483,0,0,0,0,577710,877744,1120649,3584,1179000,14828.6683630195,0,0,0,0
Kajiado,2021,14273,0,0,0,1,577710,877744,1120649,3584,1209000,11805.6244830438,0,0,0,0.89234006365954
Kajiado,2022,9846,0,0,23,0,577710,877744,1120649,3584,1238000,7953.15024232633,0,0,26.2035399843234,0
Kakamega,2014,1741,0,0,0,0,403450,78144,56884,0,1706308,1020.33161656629,0,,0,0
Kakamega,2015,9710,0,0,0,0,403450,78144,56884,0,1737408,5588.78513279552,0,,0,0
Kakamega,2016,10870,0,0,0,0,403450,78144,56884,0,1769074,6144.45749584246,0,,0,0
Kakamega,2017,11155,0,0,0,0,403450,78144,56884,0,1801318,6192.6877986008,0,,0,0
Kakamega,2018,12168,0,0,0,0,403450,78144,56884,0,1834149,6634.139320197,0,,0,0
Kakamega,2019,14599,0,0,0,0,403450,78144,56884,0,1867579,7817.07226307428,0,,0,0
Kakamega,2020,12340,0,0,0,0,403450,78144,56884,0,1897000,6505.00790722193,0,,0,0
Kakamega,2021,10135,6,0,0,0,403450,78144,56884,0,1932000,5245.85921325052,14.8717313173875,,0,0
Kakamega,2022,10377,0,0,6,0,403450,78144,56884,0,1967000,5275.5465175394,0,,76.7813267813268,0
Kericho,2014,2522,0,0,0,0,241648,71875,56238,0,842955,2991.85603027445,0,,0,0
Kericho,2015,10106,0,0,0,0,241648,71875,56238,0,854404,11828.1281454675,0,,0,0
Kericho,2016,24629,0,0,0,0,241648,71875,56238,0,866009,28439.6582483554,0,,0,0
Kericho,2017,22341,0,0,0,0,241648,71875,56238,0,877771,25451.9686797582,0,,0,0
Kericho,2018,31034,0,0,0,0,241648,71875,56238,0,889693,34881.6951465281,0,,0,0
Kericho,2019,30715,2,0,0,0,241648,71875,56238,0,901777,34060.5271591535,8.27650135734622,,0,0
Kericho,2020,30363,0,0,0,0,241648,71875,56238,0,917000,33111.2322791712,0,,0,0
Kericho,2021,25024,0,0,0,0,241648,71875,56238,0,930000,26907.5268817204,0,,0,0
Kericho,2022,31107,0,0,0,0,241648,71875,56238,0,942000,33022.2929936306,0,,0,0
Kiambu,2014,2634,0,0,0,0,200394,83597,118389,0,2191022,1202.17870929639,0,,0,0
Kiambu,2015,10830,0,0,0,0,200394,83597,118389,0,2234597,4846.51147388097,0,,0,0
Kiambu,2016,12130,0,0,0,0,200394,83597,118389,0,2279038,5322.42112680877,0,,0,0
Kiambu,2017,11608,0,0,0,0,200394,83597,118389,0,2324363,4994.05643610744,0,,0,0
Kiambu,2018,11628,0,0,0,0,200394,83597,118389,0,2370589,4905.11008023744,0,,0,0
Kiambu,2019,9179,0,0,0,0,200394,83597,118389,0,2417735,3796.52856909463,0,,0,0
Kiambu,2020,7333,0,0,0,0,200394,83597,118389,0,2501000,2932.02718912435,0,,0,0
Kiambu,2021,7898,0,0,0,0,200394,83597,118389,0,2552000,3094.8275862069,0,,0,0
Kiambu,2022,3863,0,0,0,0,200394,83597,118389,0,2602000,1484.62720983859,0,,0,0
Kilifi,2014,22,0,0,0,0,236457,542257,56481,2022,1320154,16.6647224490476,0,0,0,0
Kilifi,2015,163,0,0,7,0,236457,542257,56481,2022,1345860,121.112151338178,0,0,12.9090080902598,0
Kilifi,2016,105,0,0,0,0,236457,542257,56481,2022,1372066,76.5269309202327,0,0,0,0
Kilifi,2017,192,0,0,0,0,236457,542257,56481,2022,1398783,137.262177192602,0,0,0,0
Kilifi,2018,378,14,0,0,0,236457,542257,56481,2022,1426020,265.073421130138,59.2073823147549,0,0,0
Kilifi,2019,899,0,0,0,0,236457,542257,56481,2022,1453787,618.384949101897,0,0,0,0
Kilifi,2020,1050,0,0,0,0,236457,542257,56481,2022,1489000,705.171255876427,0,0,0,0
Kilifi,2021,1379,0,0,0,0,236457,542257,56481,2022,1518000,908.432147562582,0,0,0,0
Kilifi,2022,734,0,0,0,0,236457,542257,56481,2022,1548000,474.160206718346,0,0,0,0
Kirinyaga,2014,48,0,0,0,0,116441,106844,26751,0,585497,81.9816326983742,0,,0,0
Kirinyaga,2015,1196,2,0,0,0,116441,106844,26751,0,590397,2025.7555509259,17.1760805901701,,0,0
Kirinyaga,2016,3896,0,0,0,0,116441,106844,26751,0,595338,6544.18162455614,0,,0,0
Kirinyaga,2017,2095,0,0,0,0,116441,106844,26751,0,600321,3489.7996238679,0,,0,0
Kirinyaga,2018,1047,0,0,0,0,116441,106844,26751,0,605345,1729.59221600905,0,,0,0
Kirinyaga,2019,1929,0,0,0,0,116441,106844,26751,0,610411,3160.1658554646,0,,0,0
Kirinyaga,2020,2073,0,0,0,0,116441,106844,26751,0,637000,3254.31711145997,0,,0,0
Kirinyaga,2021,1935,0,0,0,0,116441,106844,26751,0,642000,3014.01869158879,0,,0,0
Kirinyaga,2022,1230,0,0,0,0,116441,106844,26751,0,648000,1898.14814814815,0,,0,0
Kisii,2014,7371,0,0,0,0,216858,56946,11001,0,1207817,6102.74569740284,0,,0,0
Kisii,2015,21687,0,0,0,0,216858,56946,11001,0,1219401,17784.9616328017,0,,0,0
Kisii,2016,38377,0,0,0,0,216858,56946,11001,0,1231096,31173.0360589264,0,,0,0
Kisii,2017,25416,0,0,0,0,216858,56946,11001,0,1242904,20448.884225974,0,,0,0
Kisii,2018,44120,0,0,0,0,216858,56946,11001,0,1254825,35160.2813141275,0,,0,0
Kisii,2019,44297,5,0,0,0,216858,56946,11001,0,1266860,34965.9788769083,23.0565623587786,,0,0
Kisii,2020,41333,2,0,0,0,216858,56946,11001,0,1307000,31624.3305279265,9.22262494351142,,0,0
Kisii,2021,46898,0,0,0,0,216858,56946,11001,0,1319000,35555.7240333586,0,,0,0
Kisii,2022,43178,0,0,0,0,216858,56946,11001,0,1332000,32415.9159159159,0,,0,0
Kisumu,2014,1171,0,0,0,0,242996,137696,163537,0,1060632,1104.05871216407,0,,0,0
Kisumu,2015,7485,0,0,0,0,242996,137696,163537,0,1078975,6937.13941472231,0,,0,0
Kisumu,2016,7997,0,0,0,0,242996,137696,163537,0,1097635,7285.66417798266,0,,0,0
Kisumu,2017,8014,0,0,0,0,242996,137696,163537,0,1116618,7177.0292078401,0,,0,0
Kisumu,2018,7570,0,0,0,0,242996,137696,163537,0,1135929,6664.14890367268,0,,0,0
Kisumu,2019,8374,0,0,0,0,242996,137696,163537,0,1155574,7246.6151021051,0,,0,0
Kisumu,2020,8256,0,0,0,0,242996,137696,163537,0,1186000,6961.21416526138,0,,0,0
Kisumu,2021,10229,0,0,0,0,242996,137696,163537,0,1207000,8474.73073736537,0,,0,0
Kisumu,2022,8867,0,0,0,0,242996,137696,163537,0,1228000,7220.68403908795,0,,0,0
Kitui,2014,2544,0,0,0,0,343632,1370560,105830,5202,1069633,2378.38585757919,0,0,0,0
Kitui,2015,1830,0,0,0,0,343632,1370560,105830,5202,1082624,1690.33755024829,0,0,0,0
Kitui,2016,6945,0,0,0,0,343632,1370560,105830,5202,1095773,6337.99153656825,0,0,0,0
Kitui,2017,10035,0,0,0,0,343632,1370560,105830,5202,1109082,9048.02350051665,0,0,0,0
Kitui,2018,14761,0,0,0,0,343632,1370560,105830,5202,1122553,13149.490491763,0,0,0,0
Kitui,2019,15554,0,0,0,0,343632,1370560,105830,5202,1136187,13689.6479188725,0,0,0,0
Kitui,2020,12712,1,0,3,0,343632,1370560,105830,5202,1186000,10718.3811129848,2.91008986357499,0,2.18888629465328,0
Kitui,2021,11242,0,0,4,0,343632,1370560,105830,5202,1201000,9360.53288925895,0,0,2.91851505953771,0
Kitui,2022,6776,1,0,0,0,343632,1370560,105830,5202,1215000,5576.95473251029,2.91008986357499,0,0,0
Kwale,2014,8,0,0,0,0,310434,382410,90615,1096,768857,10.4050558166213,0,0,0,0
Kwale,2015,122,0,0,0,0,310434,382410,90615,1096,787521,154.916503813867,0,0,0,0
Kwale,2016,432,0,0,0,0,310434,382410,90615,1096,806638,535.556222245915,0,0,0,0
Kwale,2017,2211,0,0,0,0,310434,382410,90615,1096,826219,2676.04593939379,0,0,0,0
Kwale,2018,1694,0,0,23,0,310434,382410,90615,1096,846276,2001.71102571738,0,0,60.144870688528,0
Kwale,2019,598,0,0,0,0,310434,382410,90615,1096,866820,689.877944671327,0,0,0,0
Kwale,2020,674,0,0,0,0,310434,382410,90615,1096,879000,766.780432309443,0,0,0,0
Kwale,2021,700,0,0,0,0,310434,382410,90615,1096,901000,776.914539400666,0,0,0,0
Kwale,2022,236,0,0,0,0,310434,382410,90615,1096,923000,255.687973997833,0,0,0,0
Laikipia,2014,1442,0,0,0,0,270065,402526,613782,7827,469694,3070.08392698225,0,0,0,0
Laikipia,2015,3276,0,0,0,0,270065,402526,613782,7827,479084,6838.04927737098,0,0,0,0
Laikipia,2016,6758,0,0,0,0,270065,402526,613782,7827,488662,13829.6000098227,0,0,0,0
Laikipia,2017,9484,0,0,0,0,270065,402526,613782,7827,498431,19027.7089506873,0,0,0,0
Laikipia,2018,8161,0,0,0,0,270065,402526,613782,7827,508396,16052.4473048568,0,0,0,0
Laikipia,2019,5691,0,0,0,0,270065,402526,613782,7827,518560,10974.6220302376,0,0,0,0
