county,year,diagnosis,hum_cases,catt_cases,cam_cases,goat_cases,shp_cases,catt_pop,goat_pop,sheep_pop,cam_pop,pop,hum_incidence,catt_incidence,cam_incidence,goat_incidence,shp_incidence
Baringo,2014,Clinically confirmed,1898,0,0,0,0,409846,933727,343343,38500,598102,3173.37176601984,0,0,0,0
Baringo,2014,Lab confirmed,0,0,0,0,0,409846,933727,343343,38500,598102,0,0,0,0,0
Baringo,2015,Clinically confirmed,2063,0,0,0,0,409846,933727,343343,38500,611244,3375.08425440577,0,0,0,0
Baringo,2015,Lab confirmed,4624,0,0,0,0,409846,933727,343343,38500,611244,7564.90043256048,0,0,0,0
Baringo,2016,Clinically confirmed,2439,0,0,0,0,409846,933727,343343,38500,624675,3904.43030375795,0,0,0,0
Baringo,2016,Lab confirmed,7049,0,0,0,0,409846,933727,343343,38500,624675,11284.267819266,0,0,0,0
Baringo,2017,Clinically confirmed,2621,0,0,0,0,409846,933727,343343,38500,638401,4105.57001007204,0,0,0,0
Baringo,2017,Lab confirmed,6150,0,0,0,0,409846,933727,343343,38500,638401,9633.44355663603,0,0,0,0
Baringo,2018,Clinically confirmed,3542,0,0,0,0,409846,933727,343343,38500,652428,5428.9515471439,0,0,0,0
Baringo,2018,Lab confirmed,11345,0,0,0,0,409846,933727,343343,38500,652428,17388.8919543612,0,0,0,0
Baringo,2019,Clinically confirmed,4173,3,0,6,6,409846,933727,343343,38500,666763,6258.59563293104,7.31982256750096,0,6.42586109216077,17.4752361341283
Baringo,2019,Lab confirmed,13295,24,0,0,0,409846,933727,343343,38500,666763,19939.6187250942,58.5585805400077,0,0,0
Baringo,2020,Clinically confirmed,5078,0,0,0,0,409846,933727,343343,38500,687000,7391.55749636099,0,0,0,0
Baringo,2020,Lab confirmed,15179,0,0,0,0,409846,933727,343343,38500,687000,22094.6142649199,0,0,0,0
Baringo,2021,Clinically confirmed,5263,0,0,0,0,409846,933727,343343,38500,702000,7497.150997151,0,0,0,0
Baringo,2021,Lab confirmed,15337,0,0,0,0,409846,933727,343343,38500,702000,21847.5783475783,0,0,0,0
Baringo,2022,Clinically confirmed,4665,0,0,0,0,409846,933727,343343,38500,718000,6497.21448467967,0,0,0,0
Baringo,2022,Lab confirmed,13805,0,0,0,0,409846,933727,343343,38500,718000,19227.0194986072,0,0,0,0
Bomet,2014,Clinically confirmed,2111,0,0,0,0,318209,76459,80492,0,817740,2581.50512387801,0,,0,0
Bomet,2014,Lab confirmed,0,0,0,0,0,318209,76459,80492,0,817740,0,0,,0,0
Bomet,2015,Clinically confirmed,2731,0,0,0,0,318209,76459,80492,0,829015,3294.27091186529,0,,0,0
Bomet,2015,Lab confirmed,5675,0,0,0,0,318209,76459,80492,0,829015,6845.47324234182,0,,0,0
Bomet,2016,Clinically confirmed,1572,0,0,0,0,318209,76459,80492,0,840445,1870.43768479793,0,,0,0
Bomet,2016,Lab confirmed,11392,0,0,0,0,318209,76459,80492,0,840445,13554.7239855077,0,,0,0
Bomet,2017,Clinically confirmed,1017,0,0,0,0,318209,76459,80492,0,852033,1193.61574023541,0,,0,0
Bomet,2017,Lab confirmed,5991,0,0,0,0,318209,76459,80492,0,852033,7031.417797198,0,,0,0
Bomet,2018,Clinically confirmed,1520,6,0,0,0,318209,76459,80492,0,863780,1759.70733288569,18.8555320559758,,0,0
Bomet,2018,Lab confirmed,9532,0,0,0,0,318209,76459,80492,0,863780,11035.2173007016,0,,0,0
Bomet,2019,Clinically confirmed,1807,6,0,0,0,318209,76459,80492,0,875689,2063.5179841245,18.8555320559758,,0,0
Bomet,2019,Lab confirmed,12660,0,0,0,0,318209,76459,80492,0,875689,14457.1874261296,0,,0,0
Bomet,2019,Post Mortem,0,4,0,0,0,318209,76459,80492,0,875689,0,12.5703547039839,,0,0
Bomet,2020,Clinically confirmed,1328,0,0,0,0,318209,76459,80492,0,902000,1472.28381374723,0,,0,0
Bomet,2020,Lab confirmed,8424,0,0,0,0,318209,76459,80492,0,902000,9339.24611973393,0,,0,0
Bomet,2021,Clinically confirmed,1450,2,0,0,0,318209,76459,80492,0,914000,1586.43326039387,6.28517735199193,,0,0
Bomet,2021,Lab confirmed,7823,0,0,0,0,318209,76459,80492,0,914000,8559.08096280088,0,,0,0
Bomet,2022,Clinically confirmed,726,0,0,1,0,318209,76459,80492,0,927000,783.171521035599,0,,13.0789050340705,0
Bomet,2022,Lab confirmed,4194,0,0,0,0,318209,76459,80492,0,927000,4524.27184466019,0,,0,0
Bungoma,2014,Clinically confirmed,1929,0,0,0,0,351259,109693,78494,0,1537222,1254.86104154117,0,,0,0
Bungoma,2014,Lab confirmed,36,0,0,0,0,351259,109693,78494,0,1537222,23.4188685824169,0,,0,0
Bungoma,2015,Clinically confirmed,2438,0,0,0,0,351259,109693,78494,0,1563012,1559.8088818256,0,,0,0
Bungoma,2015,Lab confirmed,13840,0,0,0,0,351259,109693,78494,0,1563012,8854.69849239801,0,,0,0
Bungoma,2016,Clinically confirmed,4164,0,0,0,0,351259,109693,78494,0,1589234,2620.13020109059,0,,0,0
Bungoma,2016,Lab confirmed,23961,0,0,0,0,351259,109693,78494,0,1589234,15077.0748675148,0,,0,0
Bungoma,2017,Clinically confirmed,4444,0,0,0,0,351259,109693,78494,0,1615896,2750.17699158857,0,,0,0
Bungoma,2017,Lab confirmed,25565,0,0,0,0,351259,109693,78494,0,1615896,15820.9439221336,0,,0,0
Bungoma,2018,Clinically confirmed,6037,0,0,0,0,351259,109693,78494,0,1643006,3674.36272296023,0,,0,0
Bungoma,2018,Lab confirmed,34144,0,0,0,0,351259,109693,78494,0,1643006,20781.4213703419,0,,0,0
Bungoma,2019,Clinically confirmed,7793,0,0,0,0,351259,109693,78494,0,1670570,4664.87486307069,0,,0,0
Bungoma,2019,Lab confirmed,33968,0,0,0,0,351259,109693,78494,0,1670570,20333.1796931586,0,,0,0
Bungoma,2020,Clinically confirmed,9025,0,0,0,0,351259,109693,78494,0,1700000,5308.82352941177,0,,0,0
Bungoma,2020,Lab confirmed,36454,0,0,2,0,351259,109693,78494,0,1700000,21443.5294117647,0,,18.2327040011669,0
Bungoma,2021,Clinically confirmed,10020,4,0,2,0,351259,109693,78494,0,1729000,5795.25737420474,11.3876085737305,,18.2327040011669,0
Bungoma,2021,Lab confirmed,47927,0,0,0,0,351259,109693,78494,0,1729000,27719.4910352805,0,,0,0
Bungoma,2022,Clinically confirmed,9074,19,0,3,2,351259,109693,78494,0,1758000,5161.54721274175,54.0911407252199,,27.3490560017503,25.479654495885
Bungoma,2022,Lab confirmed,42570,0,0,0,0,351259,109693,78494,0,1758000,24215.0170648464,0,,0,0
Busia,2014,Clinically confirmed,1257,0,0,0,0,206628,82303,21704,0,810293,1551.29070595451,0,,0,0
Busia,2014,Lab confirmed,472,0,0,0,0,206628,82303,21704,0,810293,582.505340660724,0,,0,0
